Simulation Duration,Received Current Data,Received Voltage Data,Received Temperature Data,Received Humidty Data,Received Wind Speed Data,Received Global Irradiance Data,Up Time,ToCurrent,ToRad,ToHum,ToTemp,ToVoltage,ToWind,wimax,wlan,totalUpload
0,14400,14400,2,2,6,200,0.205060002478,158400,2200,22,22,158400,66,0.044142378613,0.00156077213,0.396894228395
6,14400,14400,2,2,6,200,0.17726942722,158400,2200,22,22,158400,66,0.044203344723,0.001510889274,0.396487080056
12,14400,14400,2,2,6,200,0.16681578192,158400,2200,22,22,158400,66,0.044178440993,0.001518517182,0.396997017394
18,14400,14400,2,2,6,200,0.162510721031,158400,2200,22,22,158400,66,0.044130271847,0.001536200352,0.396984033698
24,14400,14400,2,2,6,200,0.15990615235,158400,2200,22,22,158400,66,0.04412246218,0.001537206263,0.396984177818
30,14400,14400,2,2,6,200,0.157846238262,158400,2200,22,22,158400,66,0.044142491924,0.001533413416,0.397072446138
36,14400,14400,2,2,6,200,0.156541770351,158400,2200,22,22,158400,66,0.044138927603,0.001540452113,0.396988144882
42,14400,14400,2,2,6,200,0.155822200694,158400,2200,22,22,158400,66,0.044161981505,0.001537317236,0.397060767424
48,14400,14400,2,2,6,200,0.155196145916,158400,2200,22,22,158400,66,0.044167947671,0.00153643566,0.397060348004
54,14400,14400,2,2,6,200,0.154934729969,158400,2200,22,22,158400,66,0.044186182746,0.001539096634,0.397131177547
60,14400,14400,2,2,6,200,0.154341295561,158400,2200,22,22,158400,66,0.044188852947,0.001534701292,0.397103955138
66,14400,14400,2,2,6,200,0.153533349331,158400,2200,22,22,158400,66,0.044188885109,0.001529505707,0.397095688977
72,14400,14400,2,2,6,200,0.153019229508,158400,2200,22,22,158400,66,0.04418772095,0.001532575976,0.397088494821
78,14400,14400,2,2,6,200,0.153358376309,158400,2200,22,22,158400,66,0.044183774154,0.001528525588,0.397082426273
84,14400,14400,2,2,6,200,0.153039381686,158400,2200,22,22,158400,66,0.044181085147,0.001526326909,0.397086135939
90,14400,14400,2,2,6,200,0.153468539741,158400,2200,22,22,158400,66,0.044181884069,0.001527529476,0.397085780613
96,14400,14400,2,2,6,200,0.153349466736,158400,2200,22,22,158400,66,0.044177994247,0.001528631495,0.397112275882
102,14400,14400,2,2,6,200,0.153074504603,158400,2200,22,22,158400,66,0.04417509246,0.001529093568,0.397089717878
108,14400,14400,2,2,6,200,0.152759188199,158400,2200,22,22,158400,66,0.044173771443,0.001528997818,0.397125125364
114,14400,14400,2,2,6,200,0.152626218723,158400,2200,22,22,158400,66,0.044177860204,0.00152687344,0.397148593704
120,14400,14400,2,2,6,200,0.152563498328,158400,2200,22,22,158400,66,0.044172439663,0.00152854983,0.397150751785
126,14400,14400,2,2,6,200,0.152801737649,158400,2200,22,22,158400,66,0.044172198872,0.001526600333,0.397174758943
132,14400,14400,2,2,6,200,0.152590274488,158400,2200,22,22,158400,66,0.044173707367,0.001527955589,0.397192904466
138,14400,14400,2,2,6,200,0.152403600577,158400,2200,22,22,158400,66,0.04417586633,0.001528722635,0.397199852384
144,14400,14400,2,2,6,200,0.152256607545,158400,2200,22,22,158400,66,0.044174024309,0.001530680267,0.397201603516
150,14400,14400,2,2,6,200,0.152097145081,158400,2200,22,22,158400,66,0.044167422389,0.00153026798,0.397185308369
156,14400,14400,2,2,6,200,0.151977767466,158400,2200,22,22,158400,66,0.044168743096,0.001528198932,0.397173292743
162,14400,14400,2,2,6,200,0.151821303438,158400,2200,22,22,158400,66,0.044166077114,0.001528356813,0.397191174577
168,14400,14400,2,2,6,200,0.151679052534,158400,2200,22,22,158400,66,0.044162492342,0.001526015341,0.397156640538
174,14400,14400,2,2,6,200,0.151551282171,158400,2200,22,22,158400,66,0.04416204269,0.001526883549,0.397118947914
180,14400,14400,2,2,6,200,0.151477527678,158400,2200,22,22,158400,66,0.044164831214,0.001526235202,0.397127679737
186,14400,14400,2,2,6,200,0.151337780524,158400,2200,22,22,158400,66,0.044163539652,0.001528553473,0.397110989518
192,14400,14400,2,2,6,200,0.151222404112,158400,2200,22,22,158400,66,0.044163418638,0.001528704801,0.397105474101
198,14400,14400,2,2,6,200,0.151084204236,158400,2200,22,22,158400,66,0.044162719135,0.001528614482,0.397107398625
204,14400,14400,2,2,6,200,0.151284778815,158400,2200,22,22,158400,66,0.044165831188,0.0015278244,0.397092094908
210,14400,14400,2,2,6,200,0.151839426448,158400,2200,22,22,158400,66,0.044164692207,0.001526012741,0.39709764529
216,14400,14400,2,2,6,200,0.152289129357,158400,2200,22,22,158400,66,0.044167472357,0.001525589733,0.397107870193
222,14400,14400,2,2,6,200,0.15220728598,158400,2200,22,22,158400,66,0.044168961619,0.001524983933,0.397123271758
228,14400,14400,2,2,6,200,0.152111013043,158400,2200,22,22,158400,66,0.044169613896,0.00152732542,0.397122889175
234,14400,14400,2,2,6,200,0.15197134415,158400,2200,22,22,158400,66,0.044166250621,0.001526350971,0.397129476706
240,14400,14400,2,2,6,200,0.152644258094,158400,2200,22,22,158400,66,0.044165274089,0.001525816384,0.397132500553
246,14400,14400,2,2,6,200,0.152539234103,158400,2200,22,22,158400,66,0.044166593905,0.001525975241,0.397128146475
252,14400,14400,2,2,6,200,0.152459234194,158400,2200,22,22,158400,66,0.044167943122,0.001526372859,0.397141033347
258,14400,14400,2,2,6,200,0.152387332002,158400,2200,22,22,158400,66,0.044168738671,0.001526014879,0.397154007951
264,14400,14400,2,2,6,200,0.152292274026,158400,2200,22,22,158400,66,0.044167169189,0.001526202608,0.397153827365
270,14400,14400,2,2,6,200,0.152412651153,158400,2200,22,22,158400,66,0.044164003631,0.001527835597,0.397147588117
276,14400,14400,2,2,6,200,0.152377321955,158400,2200,22,22,158400,66,0.04416496876,0.001529870947,0.397158117545
282,14400,14400,2,2,6,200,0.152496833061,158400,2200,22,22,158400,66,0.044163633128,0.00152893943,0.397146499539
288,14400,14400,2,2,6,200,0.152653744708,158400,2200,22,22,158400,66,0.04416184286,0.001528428868,0.397155227898
294,14400,14400,2,2,6,200,0.152626987724,158400,2200,22,22,158400,66,0.044164235416,0.001529002802,0.397155163713
300,14400,14400,2,2,6,200,0.15253172586,158400,2200,22,22,158400,66,0.044165922246,0.001529471675,0.397157722543
306,14400,14400,2,2,6,200,0.152435314051,158400,2200,22,22,158400,66,0.044166301065,0.001529722811,0.397163448374
312,14400,14400,2,2,6,200,0.152358565395,158400,2200,22,22,158400,66,0.044164868752,0.001530620884,0.397148320649
318,14400,14400,2,2,6,200,0.152304619773,158400,2200,22,22,158400,66,0.044163999448,0.001530019483,0.397154080021
324,14400,14400,2,2,6,200,0.152228566757,158400,2200,22,22,158400,66,0.044162632303,0.001530576745,0.397155915257
330,14400,14400,2,2,6,200,0.152350090092,158400,2200,22,22,158400,66,0.044160019691,0.001531159619,0.397154789543
336,14400,14400,2,2,6,200,0.152305624779,158400,2200,22,22,158400,66,0.044161231243,0.001532700748,0.397161073501
342,14400,14400,2,2,6,200,0.152211589079,158400,2200,22,22,158400,66,0.044159854476,0.001533068013,0.397160342499
348,14400,14400,2,2,6,200,0.152152752449,158400,2200,22,22,158400,66,0.044158630709,0.001534201652,0.397155634615
354,14400,14400,2,2,6,200,0.15232080755,158400,2200,22,22,158400,66,0.044159018452,0.001534289405,0.397156588381
360,14400,14400,2,2,6,200,0.1522269818,158400,2200,22,22,158400,66,0.044159620045,0.001533893046,0.397140094018
366,14400,14400,2,2,6,200,0.152357114844,158400,2200,22,22,158400,66,0.044161082228,0.001533182843,0.397144185693
372,14400,14400,2,2,6,200,0.15228933413,158400,2200,22,22,158400,66,0.044160245006,0.001532334057,0.397153800133
378,14400,14400,2,2,6,200,0.152361458233,158400,2200,22,22,158400,66,0.044159714612,0.001531948699,0.397150602652
384,14400,14400,2,2,6,200,0.152306795677,158400,2200,22,22,158400,66,0.04415888137,0.001532515516,0.39715512389
390,14400,14400,2,2,6,200,0.152269326489,158400,2200,22,22,158400,66,0.04416001458,0.00153382559,0.397159702392
396,14400,14400,2,2,6,200,0.152235763085,158400,2200,22,22,158400,66,0.044159910774,0.001534061089,0.397161248874
402,14400,14400,2,2,6,200,0.152149482822,158400,2200,22,22,158400,66,0.044162154218,0.001533779531,0.397167499167
408,14400,14400,2,2,6,200,0.152074306561,158400,2200,22,22,158400,66,0.044159739402,0.001535212415,0.397171727262
414,14400,14400,2,2,6,200,0.152145983102,158400,2200,22,22,158400,66,0.044161693075,0.00153522735,0.397169635469
420,14400,14400,2,2,6,200,0.152378775849,158400,2200,22,22,158400,66,0.044161898339,0.001535498172,0.39715746486
426,14400,14400,2,2,6,200,0.152488237118,158400,2200,22,22,158400,66,0.044160539187,0.001534384464,0.397145202314
432,14400,14400,2,2,6,200,0.152391437734,158400,2200,22,22,158400,66,0.044160678375,0.001534212846,0.397158421564
438,14400,14400,2,2,6,200,0.152395269409,158400,2200,22,22,158400,66,0.044159611761,0.001535109819,0.397162881515
444,14400,14400,2,2,6,200,0.152335092868,158400,2200,22,22,158400,66,0.04415940797,0.001535345511,0.397166833672
450,14400,14400,2,2,6,200,0.152288704908,158400,2200,22,22,158400,66,0.044158424243,0.001534251437,0.397170574936
456,14400,14400,2,2,6,200,0.152243688619,158400,2200,22,22,158400,66,0.044157322786,0.001533739462,0.397163860744
462,14400,14400,2,2,6,200,0.152334181086,158400,2200,22,22,158400,66,0.044156772936,0.001533964722,0.397159701563
468,14400,14400,2,2,6,200,0.152428038537,158400,2200,22,22,158400,66,0.044158287979,0.001534482153,0.39716451036
474,14400,14400,2,2,6,200,0.152388914816,158400,2200,22,22,158400,66,0.04415888179,0.001533986349,0.397165514981
480,14400,14400,2,2,6,200,0.15234677188,158400,2200,22,22,158400,66,0.044160307841,0.001533784837,0.397168049551
